/data/SuiteSparse_triangular_new/12month1.csr,12471,2644297,212.04,1.68,17.42,1.71
/data/SuiteSparse_triangular_new/144.csr,144649,1219042,8.43,0.53,252.88,1.57
/data/SuiteSparse_triangular_new/192bit.csr,13691,145454,10.62,0.23,472.10,1.02
/data/SuiteSparse_triangular_new/208bit.csr,24430,284737,11.66,0.21,788.06,1.13
/data/SuiteSparse_triangular_new/2D_27628_bjtcai.csr,27628,235351,8.52,0.29,36.94,0.74
/data/SuiteSparse_triangular_new/2D_54019_highK.csr,54019,526117,9.74,0.68,39.49,0.30
/data/SuiteSparse_triangular_new/2cubes_sphere.csr,101492,874378,8.62,0.43,7.08,1.71
/data/SuiteSparse_triangular_new/333SP.csr,3712815,14821448,3.99,0.36,131.17,27.81
/data/SuiteSparse_triangular_new/3D_28984_Tetra.csr,28984,317668,10.96,2.72,133.57,0.34
/data/SuiteSparse_triangular_new/3D_51448_3D.csr,51448,558004,10.85,2.63,284.24,0.63
/data/SuiteSparse_triangular_new/3dtube.csr,45330,1629474,35.95,0.80,3.90,0.36
/data/SuiteSparse_triangular_new/598a.csr,110971,852905,7.69,0.55,157.41,2.06
/data/SuiteSparse_triangular_new/ABACUS_shell_ud.csr,23412,120948,5.17,0.16,15.59,0.63
/data/SuiteSparse_triangular_new/AS365.csr,3799275,15167351,3.99,0.44,131.13,45.49
/data/SuiteSparse_triangular_new/ASIC_100k.csr,99340,526789,5.30,20.00,1552.19,1.77
/data/SuiteSparse_triangular_new/ASIC_100ks.csr,99190,339040,3.42,1.84,3815.00,1.92
/data/SuiteSparse_triangular_new/ASIC_320k.csr,321821,1478630,4.59,21.95,3742.10,1.74
/data/SuiteSparse_triangular_new/ASIC_320ks.csr,321671,1074739,3.34,2.27,9190.60,3.94
/data/SuiteSparse_triangular_new/ASIC_680k.csr,682862,2277355,3.34,49.18,11381.03,1.75
/data/SuiteSparse_triangular_new/ASIC_680ks.csr,682712,1505944,2.21,1.72,13932.90,5.91
/data/SuiteSparse_triangular_new/Andrews.csr,60000,410077,6.83,0.59,1276.60,0.83
/data/SuiteSparse_triangular_new/Baumann.csr,112211,436421,3.89,0.08,531.81,0.62
/data/SuiteSparse_triangular_new/BenElechi1.csr,245874,6698185,27.24,0.09,42.73,0.33
/data/SuiteSparse_triangular_new/Bump_2911.csr,2911419,65320659,22.44,0.17,283.38,2.30
/data/SuiteSparse_triangular_new/CAG_mat1916.csr,1916,108367,56.56,0.81,9.08,0.58
/data/SuiteSparse_triangular_new/CO.csr,221119,3943588,17.83,0.23,1.02,1.07
/data/SuiteSparse_triangular_new/Chebyshev4.csr,68121,1404561,20.62,3.03,3.91,0.11
/data/SuiteSparse_triangular_new/CoupCons3D.csr,416800,11369568,27.28,0.25,178.42,0.50
/data/SuiteSparse_triangular_new/Cube_Coup_dt0.csr,2164760,64685452,29.88,0.12,99.17,0.75
/data/SuiteSparse_triangular_new/Cube_Coup_dt6.csr,2164760,64685452,29.88,0.12,99.17,0.75
/data/SuiteSparse_triangular_new/CurlCurl_1.csr,226451,1349261,5.96,0.40,902.20,0.63
/data/SuiteSparse_triangular_new/CurlCurl_2.csr,806529,4864159,6.03,0.40,2036.69,0.63
/data/SuiteSparse_triangular_new/CurlCurl_3.csr,1219574,7382096,6.05,0.40,2583.84,0.62
/data/SuiteSparse_triangular_new/CurlCurl_4.csr,2380515,14448191,6.07,0.39,4041.62,0.63
/data/SuiteSparse_triangular_new/Delor295K.csr,295734,462300,1.56,1.37,36966.75,2.42
/data/SuiteSparse_triangular_new/Delor338K.csr,343236,1261826,3.68,1.38,34323.60,2.26
/data/SuiteSparse_triangular_new/Dubcova1.csr,16129,134569,8.34,0.32,22.85,2.00
/data/SuiteSparse_triangular_new/Dubcova2.csr,65025,547625,8.42,0.32,39.79,3.05
/data/SuiteSparse_triangular_new/Dubcova3.csr,146689,1891669,12.90,0.27,44.91,2.00
/data/SuiteSparse_triangular_new/EAT_RS.csr,23219,192290,8.28,2.90,167.04,2.65
/data/SuiteSparse_triangular_new/EAT_SR.csr,23219,179173,7.72,1.54,209.18,6.83
/data/SuiteSparse_triangular_new/Emilia_923.csr,923136,20964171,22.71,0.22,176.14,0.57
/data/SuiteSparse_triangular_new/F1.csr,343791,13590452,39.53,0.48,245.92,0.59
